id,start,end,location,use_gtn,attendance,site
2,2021-02-09,2021-02-11,AU,Y,30,au
3,2021-02-09,2021-02-15,TD,Y,3,au
4,2021-02-15,2021-02-19,AR|AT|AU|BD|BE|BG|BR|CA|CH|CI|CL|CN|CO|CZ|DE|DK|DZ|EE|EG|ES|FI|FR|GH|GR|HK|HU|ID|IE|IL|IN|IQ|IR|IT|JP|KE|KP|KZ|LV|MG|MT|MX|MY|NA|NG|NL|NO|NP|NZ|PA|PE|PH|PK|PL|PT|PY|QA|RO|RS|RU|SA|SD|SE|SG|SY|SZ|TH|TR|TW|UA|UK|US|UY|VN|ZA|ZW,Y,850,au
384,2021-02-15,2021-02-19,AR|AT|AU|BD|BE|BG|BR|CA|CH|CI|CL|CN|CO|CZ|DE|DK|DZ|EE|EG|ES|FI|FR|GH|GR|HK|HU|ID|IE|IL|IN|IQ|IR|IT|JP|KE|KP|KZ|LV|MG|MT|MX|MY|NA|NG|NL|NO|NP|NZ|PA|PE|PH|PK|PL|PT|PY|QA|RO|RS|RU|SA|SD|SE|SG|SY|SZ|TH|TR|TW|UA|UK|US|UY|VN|ZA|ZW,Y,850,eu
481,2022-03-14,2022-03-18,AE|AF|AG|AR|AT|AU|BA|BD|BE|BF|BG|BH|BJ|BO|BR|BW|CA|CD|CH|CI|CL|CM|CN|CO|CR|CU|CY|CZ|DE|DK|DO|DZ|EC|EE|EG|ES|ET|FI|FR|GE|GH|GN|GR|HR|HU|ID|IE|IL|IN|IQ|IR|IT|JO|JP|KE|KR|KZ|LB|LK|LT|LV|MA|MG|MK|ML|MU|MW|MX|MY|NE|NG|NL|NO|NP|NZ|OM|PE|PH|PK|PL|PS|PT|PY|QA|RO|RS|RU|SA|SD|SE|SG|SI|SK|SY|TH|TJ|TN|TR|TT|TW|TZ|UA|UG|UK|US|UY|UZ|VN|ZA|ZM|ZW,Y,1500,eu
35,2022-03-14,2022-03-18,AE|AF|AG|AR|AT|AU|BA|BD|BE|BF|BG|BH|BJ|BO|BR|BW|CA|CD|CH|CI|CL|CM|CN|CO|CR|CU|CY|CZ|DE|DK|DO|DZ|EC|EE|EG|ES|ET|FI|FR|GE|GH|GN|GR|HR|HU|ID|IE|IL|IN|IQ|IR|IT|JO|JP|KE|KR|KZ|LB|LK|LT|LV|MA|MG|MK|ML|MU|MW|MX|MY|NE|NG|NL|NO|NP|NZ|OM|PE|PH|PK|PL|PS|PT|PY|QA|RO|RS|RU|SA|SD|SE|SG|SI|SK|SY|TH|TJ|TN|TR|TT|TW|TZ|UA|UG|UK|US|UY|UZ|VN|ZA|ZM|ZW,Y,1500,au
5,2021-03-26,2021-03-26,AU,N,60,au
6,2021-02-23,2021-02-24,AU,Y,60,au
7,2021-03-23,2021-03-23,AU,N,20,au
9,2021-03-05,2021-03-05,AU,Y,55,au
10,2021-03-18,2021-03-18,AU,N,55,au
11,2021-03-31,2021-03-31,AU,Y,20,au
12,2021-04-21,2021-04-21,AU,Y,35,au
13,2021-04-19,2021-04-23,AU,N,88,au
14,2021-04-23,2021-04-24,AU,N,40,au
15,2021-04-30,2021-05-01,AU,N,40,au
16,2021-05-07,2021-05-08,AU,N,30,au
17,2021-05-25,2021-05-25,AU,Y,35,au
20,2021-06-07,2021-06-12,GB,Y,30,au
21,2021-06-28,2021-07-03,AU,Y,50,au
22,2021-06-25,2021-06-25,AU,N,35,au
24,2021-08-09,2021-11-08,AU,N,14,au
25,2021-07-27,2021-07-27,AU,Y,30,au
26,2021-09-20,2021-09-22,AU,Y,40,au
27,2021-09-09,2021-09-09,AU,Y,50,au
28,2021-09-27,2021-10-31,AU,Y,35,au
29,2021-10-07,2021-10-07,AU,N,65,au
30,2021-09-28,2021-09-28,AU,Y,20,au
31,2021-10-26,2021-10-28,GB,Y,30,au
32,2021-10-26,2021-10-26,AU,Y,30,au
33,2021-11-12,2021-11-24,AU,Y,48,au
34,2021-11-25,2021-11-25,AU,Y,30,au
36,2022-03-28,2022-03-29,AU,Y,40,au
37,2022-03-04,2022-03-29,AU,Y,75,au
38,2022-03-11,2022-06-03,AU,Y,200,au
39,2022-03-11,2022-04-10,AU,Y,110,au
40,2022-03-11,2022-06-03,AU,Y,110,au
41,2022-03-23,2022-03-23,AU,Y,20,au
43,2022-03-28,2022-03-30,AU,Y,30,au
44,2022-05-23,2022-05-25,AU,N,25,au
45,2022-05-06,2022-05-13,AU,N,60,au
46,2022-05-17,2022-05-17,AU,N,30,au
47,2022-05-25,2022-05-25,AU,N,10,au
48,2022-05-31,2022-05-31,AU,Y,25,au
49,2022-06-29,2022-06-29,AU,N,15,au
50,2022-06-15,2022-06-15,AU,N,25,au
51,2022-09-01,2022-11-01,AU,Y,40,au
52,2022-07-08,2022-07-09,US,Y,50,au
53,2022-07-17,2022-07-20,US,Y,80,au
54,2022-07-21,2022-07-21,AU,N,25,au
55,2022-08-30,2022-08-31,AU,Y,30,au
56,2022-08-15,2022-08-15,AU,Y,6,au
57,2022-08-31,2022-08-31,AU,Y,20,au
58,2022-09-20,2022-09-22,HK,Y,10,au
59,2022-10-09,2022-10-15,AU,N,10,au
60,2022-10-30,2022-10-30,AU,N,20,au
61,2022-11-10,2022-11-10,AU,Y,20,au
62,2022-11-14,2022-11-16,AU,N,20,au
63,2022-11-16,2022-11-24,AU,Y,60,au
64,2022-11-15,2022-11-15,AU,Y,20,au
65,2022-12-02,2022-12-02,AU,Y,10,au
66,2023-01-19,2023-01-20,AU|GB,Y,30,au
67,2023-02-08,2023-02-08,AU,N,30,au
494,2022-05-09,2022-05-09,DE,Y,20,eu
470,2022-02-22,2022-02-25,DE,Y,40,eu
493,2022-05-09,2022-05-10,NL,Y,16,eu
508,2022-08-23,2022-08-28,GR,Y,30,eu
514,2022-10-18,2022-11-08,MX,Y,15,eu
513,2022-09-12,2022-09-21,GB,Y,10,eu
527,2022-10-14,2022-10-15,IN,Y,150,eu
546,2022-12-19,2022-12-23,LT,N,90,eu
517,2022-09-19,2023-01-31,HU,N,40,eu
518,2022-09-23,2022-09-27,SE,Y,12,eu
519,2022-09-22,2022-12-14,HU,N,13,eu
550,2023-02-02,2023-02-02,CH,Y,50,eu
509,2022-09-01,2022-09-02,PK,N,25,eu
510,2022-09-01,2022-10-10,DE,Y,25,eu
511,2022-08-30,2022-08-31,NL,Y,60,eu
422,2021-09-15,2022-12-15,US,N,8,eu
515,2022-09-20,2022-09-27,GB,N,50,eu
520,2022-10-13,2023-12-02,GB,Y,40,eu
512,2022-08-28,2022-08-28,NL,Y,30,eu
521,2022-10-05,2022-10-08,PK,N,30,eu
522,2022-10-01,2022-12-15,US,N,24,eu
426,2021-09-13,2022-01-31,HU,N,25,eu
524,2022-11-07,2022-12-02,FR,N,15,eu
528,2022-10-10,2023-02-01,FR,N,80,eu
551,2023-04-25,2023-04-26,CH,Y,30,eu
535,2022-12-06,2022-12-07,FR,N,22,eu
538,2022-11-11,2022-11-25,GB,N,75,eu
526,2022-11-07,2022-11-11,ZM,N,24,eu
533,2022-11-07,2022-11-18,ES,N,15,eu
525,2023-02-06,2023-02-10,GB,Y,32,eu
336,2020-11-10,2020-11-24,MX,Y,35,eu
534,2022-11-10,2022-11-11,DE,Y,20,eu
536,2022-12-09,2022-12-09,FR,N,22,eu
543,2023-01-09,2023-01-13,CH,Y,50,eu
471,2022-02-07,2022-02-25,DE,N,20,eu
506,2022-07-24,2022-07-30,IN,Y,30,eu
540,2022-12-05,2022-12-09,SN,N,12,eu
545,2022-12-12,2022-12-30,RS,Y,18,eu
529,2022-10-14,2022-12-09,US,Y,8,eu
480,2022-02-21,2022-02-25,ZA,Y,34,eu
482,2022-04-27,2022-04-27,CH,Y,24,eu
516,2022-10-11,2022-10-26,FR,N,16,eu
374,2021-02-22,2021-03-07,US,Y,26,eu
443,2021-11-03,2021-11-05,FR,N,25,eu
286,2020-07-16,2020-07-19,FR,Y,32,eu
331,2020-11-23,2020-11-30,NL,Y,64,eu
345,2020-11-22,2020-11-25,BG,Y,16,eu
415,2021-08-31,2021-10-22,NL,Y,30,eu
280,2020-05-19,2020-05-19,DE,Y,25,eu
417,2021-09-06,2021-12-09,SE,N,20,eu
552,2023-01-17,2023-01-18,US,N,50,eu
554,2023-04-27,2023-04-27,US,N,10,eu
523,2022-10-04,2022-10-15,ES,Y,30,eu
553,2023-03-27,2023-03-29,US,N,25,eu
434,2021-10-08,2022-02-28,GR,N,20,eu
495,2022-05-18,2022-05-18,FR,Y,50,eu
496,2022-05-20,2022-06-15,KE,Y,300,eu
498,2022-06-08,2022-06-22,ES,Y,35,eu
501,2022-06-10,2022-06-10,NL,Y,30,eu
500,2022-07-04,2022-07-05,DE,Y,25,eu
499,2022-06-30,2022-07-01,PK,N,25,eu
186,2019-02-06,2019-05-08,AU,Y,12,eu
246,2019-12-10,2019-12-10,GR,Y,10,eu
544,2022-12-19,2022-12-23,BE,Y,10,eu
539,2022-11-21,2022-11-25,FR,N,19,eu
472,2022-02-22,2022-02-24,BG,Y,12,eu
377,2021-04-12,2021-04-19,US,Y,26,eu
334,2020-11-01,2020-12-31,DE,N,12,eu
234,2019-10-07,2019-10-09,NL,Y,60,eu
194,2019-03-25,2019-03-25,DE,Y,30,eu
230,2019-09-30,2020-01-22,ES,Y,20,eu
227,2019-10-08,2019-10-08,FR,Y,33,eu
267,2020-02-21,2020-05-22,CZ,Y,24,eu
212,2019-06-18,2019-06-19,BG,Y,12,eu
457,2021-12-06,2021-12-10,AU,N,30,eu
197,2019-04-03,2019-04-03,RS,Y,12,eu
476,2022-03-21,2022-03-25,CH,Y,40,eu
478,2022-02-21,2022-02-24,ES,Y,55,eu
483,2022-03-11,2022-03-11,FR,Y,15,eu
549,2023-01-14,2023-01-24,MG,N,10,eu
548,2023-01-23,2023-03-03,IT,Y,30,eu
547,2023-03-13,2023-05-12,GB,N,40,eu
542,2022-11-23,2022-11-26,SI,Y,20,eu
322,2020-11-12,2020-11-30,FR,N,25,eu
541,2022-11-28,2022-11-30,DE,Y,10,eu
487,2022-04-08,2022-05-20,CZ,Y,25,eu
468,2022-03-29,2022-03-30,GB,N,30,eu
502,2022-07-04,2022-07-08,DE,Y,10,eu
503,2022-08-29,2022-12-19,SE,N,25,eu
504,2022-07-08,2022-07-09,US,Y,50,eu
464,2022-02-07,2022-02-11,DE,Y,20,eu
465,2022-03-21,2022-03-25,DE,Y,20,eu
449,2021-11-30,2021-12-02,DE,N,8,eu
489,2022-05-01,2022-06-30,DE,Y,15,eu
185,2019-02-04,2019-03-04,FR,Y,14,eu
162,2018-06-24,2018-06-30,US,Y,40,eu
228,2019-09-23,2019-09-25,NL,Y,25,eu
488,2022-04-26,2022-05-12,LT,Y,30,eu
179,2018-11-26,2018-12-31,LT,N,33,eu
221,2019-09-02,2019-09-06,DE,N,20,eu
173,2018-10-19,2018-10-19,BE,N,20,eu
279,2020-05-18,2020-06-18,GB,Y,40,eu
163,2018-06-26,2018-06-26,BE,Y,15,eu
292,2020-07-17,2020-07-19,NO,Y,20,eu
393,2021-04-26,2021-04-30,GB,Y,35,eu
383,2021-02-17,2021-09-01,AU,Y,45,eu
491,2022-05-03,2022-05-03,AT,Y,50,eu
466,2022-02-28,2022-03-02,US,N,25,eu
455,2021-12-10,2021-12-10,FR,N,22,eu
232,2019-10-08,2019-10-08,BE,N,15,eu
282,2020-06-18,2020-06-25,NL,N,35,eu
424,2021-10-01,2021-10-01,GB,N,60,eu
264,2020-03-03,2020-04-01,NL,Y,36,eu
239,2019-11-25,2019-11-26,FR,N,15,eu
530,2022-10-20,2022-10-28,GB,Y,24,eu
358,2020-12-10,2020-12-11,FR,Y,12,eu
247,2020-02-17,2020-02-21,DE,Y,40,eu
