id,start,end,location,use_gtn,attendance
2,2021-02-09,2021-02-11,AU,Y,30
3,2021-02-09,2021-02-15,TD,Y,3
4,2021-02-15,2021-02-19,AU|IN|ID,Y,850
5,2021-03-26,2021-03-26,AU,N,60
6,2021-02-23,2021-02-24,AU,Y,60
7,2021-03-23,2021-03-23,AU,N,20
9,2021-03-05,2021-03-05,AU,Y,55
10,2021-03-18,2021-03-18,AU,N,55
11,2021-03-31,2021-03-31,AU,Y,20
12,2021-04-21,2021-04-21,AU,Y,35
13,2021-04-19,2021-04-23,AU,N,88
14,2021-04-23,2021-04-24,AU,N,40
15,2021-04-30,2021-05-01,AU,N,40
16,2021-05-07,2021-05-08,AU,N,30
17,2021-05-25,2021-05-25,AU,Y,35
20,2021-06-07,2021-06-12,GB,Y,30
21,2021-06-28,2021-07-03,AU,Y,50
22,2021-06-25,2021-06-25,AU,N,35
24,2021-08-09,2021-11-08,AU,N,14
25,2021-07-27,2021-07-27,AU,Y,30
26,2021-09-20,2021-09-22,AU,Y,40
27,2021-09-09,2021-09-09,AU,Y,50
28,2021-09-27,2021-10-31,AU,Y,35
29,2021-10-07,2021-10-07,AU,N,65
30,2021-09-28,2021-09-28,AU,Y,20
31,2021-10-26,2021-10-28,GB,Y,30
32,2021-10-26,2021-10-26,AU,Y,30
33,2021-11-12,2021-11-24,AU,Y,48
34,2021-11-25,2021-11-25,AU,Y,30
35,2022-03-14,2022-03-18,NL,Y,1998
36,2022-03-28,2022-03-29,AU,Y,40
37,2022-03-04,2022-03-29,AU,Y,75
38,2022-03-11,2022-06-03,AU,Y,200
39,2022-03-11,2022-04-10,AU,Y,110
40,2022-03-11,2022-06-03,AU,Y,110
41,2022-03-23,2022-03-23,AU,Y,20
43,2022-03-28,2022-03-30,AU,Y,30
44,2022-05-23,2022-05-25,AU,N,25
45,2022-05-06,2022-05-13,AU,N,60
46,2022-05-17,2022-05-17,AU,N,30
47,2022-05-25,2022-05-25,AU,N,10
48,2022-05-31,2022-05-31,AU,Y,25
49,2022-06-29,2022-06-29,AU,N,15
50,2022-06-15,2022-06-15,AU,N,25
51,2022-09-01,2022-11-01,AU,Y,40
52,2022-07-08,2022-07-09,US,Y,50
53,2022-07-17,2022-07-20,US,Y,80
54,2022-07-21,2022-07-21,AU,N,25
55,2022-08-30,2022-08-31,AU,Y,30
56,2022-08-15,2022-08-15,AU,Y,6
57,2022-08-31,2022-08-31,AU,Y,20
58,2022-09-20,2022-09-22,HK,Y,10
